  1 SQL                          108 52.94%
  2 PostgreSQL                    71 34.80%
  3 Linux                         65 31.86%
  4 Git                           62 30.39%
  5 Английский                    49 24.02%
  6 Django Framework              35 17.16%
  7 docker                        33 16.18%
196 QlikView                       1  0.49%
197 RESTAPI                        1  0.49%
198 React                          1  0.49%
199 React.js                       1  0.49%
200 Redis as broker                1  0.49%
201 SAP ERP                        1  0.49%
202 SDET                           1  0.49%
203 SQL Server                     1  0.49%
204 SSAS                           1  0.49%
205 SSIS                           1  0.49%
206 SSRS                           1  0.49%
207 STL                            1  0.49%
208 SaaS                           1  0.49%
209 SciPy                          1  0.49%
210 SoupUI                         1  0.49%
211 Symfony                        1  0.49%
212 Telegram Bot API               1  0.49%
213 Teradata                       1  0.49%
214 Text2SQL                       1  0.49%
215 Ubuntu                         1  0.49%
216 Ubuntu Server                  1  0.49%
217 VAEX                           1  0.49%
218 Vue.js                         1  0.49%
219 Wireshark                      1  0.49%
220 XML                            1  0.49%
221 automl                         1  0.49%
222 catboost                       1  0.49%
223 drupal                         1  0.49%
224 ffmpeg                         1  0.49%
225 game analytics                 1  0.49%
226 highload                       1  0.49%
227 iOS                            1  0.49%
228 jaeger                         1  0.49%
229 k8s                            1  0.49%
230 pydantic                       1  0.49%
231 redis-OM                       1  0.49%
232 seaborn                        1  0.49%
233 table data                     1  0.49%
234 Автоматизация тестирования     1  0.49%
235 Веб-программирование           1  0.49%
236 Ведение переговоров            1  0.49%
237 Гибкость                       1  0.49%
238 Готовность к командировкам     1  0.49%
239 Грамотность                    1  0.49%
240 Запуск новых продуктов         1  0.49%
241 Интернет-магазины              1  0.49%
242 Киберполигон                   1  0.49%
243 Компьютерное зрение            1  0.49%
244 Линейное программирование      1  0.49%
245 Математический анализ          1  0.49%
246 Моделирование бизнес процессов   1  0.49%
247 Мотивация персонала            1  0.49%
248 Навыки публичных выступлений   1  0.49%
249 Наставничество                 1  0.49%
250 Ориентация на результат        1  0.49%
251 Планирование карьеры           1  0.49%
252 Подбор персонала               1  0.49%
253 Поисковые системы              1  0.49%
254 Проведение опросов клиентов    1  0.49%
255 Проведение тестирований        1  0.49%
256 Работа с большим объемом информации   1  0.49%
257 Работа с документацией         1  0.49%
258 Разработка продукта            1  0.49%
259 С#                             1  0.49%
260 С++                            1  0.49%
261 Системное мышление             1  0.49%
262 Системный анализ               1  0.49%
263 Статистический анализ          1  0.49%
264 Теория тестирования            1  0.49%
265 Удаленная работа               1  0.49%
266 Умение принимать решения       1  0.49%
267 Управление временем            1  0.49%
268 Управление процессами          1  0.49%
269 Финансовое моделирование       1  0.49%
270 ЦОС                            1  0.49%
271 Яндекс.Метрика                 1  0.49%
272 искусственный интеллект        1  0.49%
273 когортный анализ               1  0.49%
274 математика                     1  0.49%
275 мобильная разработка           1  0.49%
276 сетевые технологии             1  0.49%
